date,New cases,New deaths,cases,deaths
7/17/2020,70923,901,3660512,139186
7/18/2020,62454,775,3722966,139961
7/19/2020,62275,412,3785241,140373
7/20/2020,59883,531,3845124,140904
7/21/2020,65274,1127,3910398,142031
7/22/2020,69730,1136,3980128,143167
7/23/2020,69998,1116,4050126,144283
7/24/2020,73525,1147,4123651,145430
7/25/2020,66771,884,4190422,146314
7/26/2020,54212,440,4244634,146754
7/27/2020,59179,1696,4303813,148450
7/28/2020,63109,1324,4366922,149774
