Month,State,Cases
Feb,Northern Mariana Islands,0
Mar,Northern Mariana Islands,2
Apr,Northern Mariana Islands,14
May,Northern Mariana Islands,22
June,Northern Mariana Islands,30
July,Northern Mariana Islands,40
Jan,Ohio,0
Feb,Ohio,0
Mar,Ohio,2199
Apr,Ohio,18027
May,Ohio,35513
June,Ohio,51789
July,Ohio,85177
Jan,Oklahoma,0
Feb,Oklahoma,0
Mar,Oklahoma,566
Apr,Oklahoma,3618
May,Oklahoma,6506
June,Oklahoma,13757
July,Oklahoma,32529
Jan,Oregon,0
Feb,Oregon,0
Mar,Oregon,690
Apr,Oregon,2510
May,Oregon,4243
June,Oregon,8695
July,Oregon,17122
Jan,Pennsylvania,0
Feb,Pennsylvania,0
Mar,Pennsylvania,4997
Apr,Pennsylvania,48224
May,Pennsylvania,76218
June,Pennsylvania,91226
July,Pennsylvania,112995
Jan,Puerto Rico,0
Feb,Puerto Rico,0
Mar,Puerto Rico,239
Apr,Puerto Rico,1537
May,Puerto Rico,3776
June,Puerto Rico,7465
July,Puerto Rico,15431
Jan,Rhode Island,0
Feb,Rhode Island,0
Mar,Rhode Island,488
Apr,Rhode Island,8621
May,Rhode Island,14928
June,Rhode Island,16813
July,Rhode Island,18515
Jan,South Carolina,0
Feb,South Carolina,0
Mar,South Carolina,1083
Apr,South Carolina,6095
May,South Carolina,11861
June,South Carolina,36399
July,South Carolina,82417
Jan,South Dakota,0
Feb,South Dakota,0
Mar,South Dakota,107
Apr,South Dakota,2450
May,South Dakota,4993
June,South Dakota,6764
July,South Dakota,8444
Jan,Tennessee,0
Feb,Tennessee,0
Mar,Tennessee,2049
Apr,Tennessee,10506
May,Tennessee,22832
June,Tennessee,42815
July,Tennessee,93869
Jan,Texas,0
Feb,Texas,11
Mar,Texas,3588
Apr,Texas,29072
May,Texas,64974
June,Texas,166703
July,Texas,402295
Jan,Utah,0
Feb,Utah,0
Mar,Utah,887
Apr,Utah,4672
May,Utah,9829
June,Utah,22364
July,Utah,38439
Jan,Vermont,0
Feb,Vermont,0
Mar,Vermont,293
Apr,Vermont,866
May,Vermont,981
June,Vermont,1208
July,Vermont,1400
Jan,Virgin Islands,0
Feb,Virgin Islands,0
Mar,Virgin Islands,30
Apr,Virgin Islands,66
May,Virgin Islands,70
June,Virgin Islands,90
July,Virgin Islands,375
Jan,Virginia,0
Feb,Virginia,0
Mar,Virginia,1249
Apr,Virginia,15846
May,Virginia,44607
June,Virginia,62787
July,Virginia,86072
Jan,Washington,0
Feb,Washington,10
Mar,Washington,5293
Apr,Washington,14814
May,Washington,22814
June,Washington,34541
July,Washington,55548
Jan,West Virginia,0
Feb,West Virginia,0
Mar,West Virginia,162
Apr,West Virginia,1126
May,West Virginia,2010
June,West Virginia,2904
July,West Virginia,6054
Jan,Wisconsin,0
Feb,Wisconsin,1
Mar,Wisconsin,1351
Apr,Wisconsin,6854
May,Wisconsin,18418
June,Wisconsin,31723
July,Wisconsin,53323
Jan,Wyoming,0
Feb,Wyoming,0
Mar,Wyoming,121
Apr,Wyoming,559
May,Wyoming,903
June,Wyoming,1487
July,Wyoming,2520
